County,2026_count,2026_pct,2025_count,2025_pct,2024_count,2024_pct,2023_count,2023_pct,2022_count,2022_pct,2021_count,2021_pct,2020_count,2020_pct,2019_count,2019_pct,2018_count,2018_pct,2017_count,2017_pct
Alachua,2276,91.1,2235,91.9,2303,92.7,2388,92.2,2291,91.5,2057,94.3,2535,94.5,2434,94.2,2278,91.1,2594,94
Baker,338,93.1,351,95.4,335,96,385,95.3,383,97.2,361,98.1,401,96.2,355,95.9,406,96.7,356,97.5
Bay,1932,86.4,1915,85.3,1905,84.6,1865,86.8,1932,92.4,1904,94.4,1885,95.6,2241,95.9,2206,96.3,2223,97.5
Bradford,271,92.8,296,94.9,311,93.1,310,93.7,256,94.1,231,96.7,297,95.2,290,95.1,314,98.7,323,93.1
Brevard,4840,89.6,4889,90.9,5322,91.6,4595,88.1,5260,93,5130,95.2,5527,95.2,5574,95.1,5831,96.5,5642,94.8
Broward,15066,84.7,15720,82.2,18110,90.7,18401,91.9,18412,91.7,17328,93.6,20037,93.9,19827,94.2,19402,94.3,20126,95.3
Calhoun,151,98.7,146,98,153,95,163,95.3,161,95.8,151,96.2,152,96.8,160,95.8,155,97.5,163,98.8
Charlotte,1017,85.7,1062,89.2,1017,86.3,1091,90.2,1108,90.2,1035,96,1132,92.8,1120,94.4,1075,92.9,1012,94
Citrus,1015,89.5,1021,90.8,1127,91.4,1192,92.5,1112,91,974,91.9,1217,93.3,1135,94.7,1103,93.6,1084,95.4
Clay,2433,92.2,2632,93.6,2637,92.6,2648,93.6,2637,94.3,2619,96.2,2701,96.1,2588,96.3,2483,94.6,2467,96.5
Collier,3000,89.1,3131,86.3,3174,85.9,3218,88.1,3427,90.1,3083,93.1,3295,92.8,3158,92.8,3264,93.8,3276,92.9
Columbia,792,90.9,795,92.9,873,92.8,919,94.6,920,93.9,863,95,886,95.2,939,94.3,883,94.5,835,93.7
Miami-Dade,23900,90.8,25197,91,24770,90.7,25489,90.9,25124,92,22535,92.9,27209,93.4,26532,93.3,26750,92.8,28018,91.6
DeSoto,312,90.4,337,91.1,332,94.3,339,96,329,95.4,304,95.9,360,96,358,94.7,327,96.7,417,98.1
Dixie,153,93.3,160,93.6,159,94.1,146,98,168,97.7,155,98.1,185,96.9,193,98,181,93.8,232,98.7
Duval,10541,89.5,11018,89.9,10917,87.6,11085,88.9,11124,89.5,10172,90.7,11145,93.8,11492,94.7,11531,95.1,11230,93.8
Escambia,3052,87.3,3254,88.9,3208,88.4,3464,91.3,3350,89.5,3264,91.6,3522,92.9,3469,93,3613,93.8,3525,95
Flagler,851,86,883,88.7,898,86.8,840,89.9,838,92,859,94.1,878,93.2,819,93,823,91.9,736,92.2
Franklin,86,87.8,93,91.2,95,94.1,80,84.2,84,97.7,112,99.1,103,98.1,103,100,117,99.2,112,98.2
Gadsden,292,83.2,276,79.8,344,84.9,370,93.4,300,81.1,320,89.1,386,97.7,408,99.8,365,96.6,429,98.2
Gilchrist,212,86.5,244,92.1,258,91.5,260,91.2,227,92.7,245,96.8,241,96.4,223,94.5,219,97.8,220,95.7
Glades,133,93,140,94,150,93.8,140,98.6,136,97.8,146,96.7,153,94.4,146,94.8,179,98.4,162,97
Gulf,140,95.2,138,94.5,108,85.7,142,94.7,151,96.8,127,96.2,153,96.8,137,95.8,147,98,160,99.4
Hamilton,139,95.9,130,97,130,93.5,122,91.7,120,90.9,85,95.5,127,96.2,121,98.4,146,97.3,147,97.4
Hardee,324,97,310,95.4,342,96.6,356,96.2,386,98.7,394,98.5,437,99.1,389,97.3,431,99.1,410,99
Hendry,520,94,572,91.2,552,90.5,571,92.5,520,94.4,500,95.1,557,95.2,498,97.1,497,97.5,521,97.6
Hernando,1660,88.7,1617,89,1735,89.7,1696,90.3,1622,91.1,1221,90.8,1658,93.1,1758,93.9,1646,94.7,1738,94.8
Highlands,901,91.3,915,89.8,950,92.1,952,89.6,984,92.9,851,94.1,1016,96.2,992,94.5,828,95.5,1021,97.2
Hillsborough,12970,85.4,13115,86,14597,90,15495,91.1,16587,93.9,16290,95.8,17317,95.2,16248,94.2,15754,94.4,16023,95
Holmes,182,87.1,191,93.6,206,93.2,224,97.4,269,98.5,237,98.3,254,98.8,251,98.4,247,98.4,246,98.4
Indian River,1239,90.9,1218,91.2,1251,89.3,1261,92.7,1235,87.8,1157,93.4,1320,94.5,1223,94.2,1225,96.4,1336,96.5
Jackson,447,91,459,92.2,514,90.5,535,93.5,550,96.7,475,91.7,531,96.5,520,94.2,529,96.9,493,97.4
Jefferson,83,97.6,89,97.8,75,85.2,93,93,67,93.1,92,98.9,81,94.2,92,93.9,139,94.6,79,98.8
Lafayette,76,93.8,90,91.8,98,92.5,92,91.1,95,90.5,73,96.1,101,93.5,96,100,92,96.8,106,96.4
Lake,3401,89.3,3342,86,3275,85,3227,88.6,3375,90.9,2908,90.3,3608,93.8,3680,94.1,3450,93.9,2990,92.7
Lee,6897,93.1,7271,92.4,6467,92.6,6639,91.6,6700,92.3,6621,94.3,6677,93.2,6732,93,6736,94.1,6716,94.1
Leon,2741,93.7,2771,93.8,2735,94.5,2972,95.3,2965,95.5,2358,93.7,2547,95.3,2683,94.4,2766,95.2,2737,94.1
Levy,419,91.9,417,95.4,397,90.8,445,95.7,452,94.4,466,97.3,453,95.2,458,97.2,448,96.1,431,95.8
Liberty,81,92,102,93.6,85,94.4,101,98.1,110,95.7,90,90.9,106,93.8,91,96.8,97,97,93,95.9
Madison,210,91.3,226,93,208,95.9,242,96,226,91.5,231,96.7,247,98.4,201,91.4,219,97.8,211,94.2
Manatee,3499,89.1,3559,89.8,3582,90.2,3492,92.4,3475,91.6,3526,93.2,3630,93.5,3473,95.4,3403,93.2,3437,96.4
Marion,3190,89.8,3420,90.8,3350,91.6,3370,90.8,3359,94.1,3016,95.4,3311,95,3204,94.9,3101,94.7,3308,96
Martin,1281,91.5,1243,88.5,1219,91.4,1244,90.3,1214,90.5,1186,91.3,1354,90.8,1243,91.6,1267,91.3,1450,93.2
Monroe,600,93,629,92,659,90.9,656,92.1,620,90.5,575,93.3,674,90.6,602,90.1,610,92.1,669,93.3
Nassau,875,89.2,945,91.8,947,92.1,944,89.8,1032,94.9,873,94.1,924,93.8,970,94.2,920,93.1,903,94.4
Okaloosa,2052,89.5,2116,90,2238,91.2,2142,90.1,2279,92,2277,94.8,2639,94.8,2405,94.5,2483,96.1,2526,96.3
Okeechobee,417,93.5,436,93.8,483,95.6,535,97.4,519,96.8,465,98.1,550,94.5,496,95,498,95,512,97.3
Orange,12736,88.6,12063,85.4,12828,87,12705,87.3,12052,88.2,11475,89.6,13461,90,15055,91.5,15122,91.1,15157,93.3
